Rating;Company Name;Salary;Salaries Reported;Location;Employment Status;Job Roles
3.8;Sasken;400000;3;Bangalore;Full Time;Android
4.5;Advanced Millennium Technologies;400000;3;Bangalore;Full Time;Android
4.0;Unacademy;1000000;3;Bangalore;Full Time;Android
3.8;SnapBizz Cloudtech;300000;3;Bangalore;Full Time;Android
4.4;Appoids Tech Solutions;600000;3;Bangalore;Full Time;Android
4.2;Freelancer;100000;3;Bangalore;Full Time;Android
3.7;SQUARE N CUBE;192000;3;Bangalore;Full Time;Android
3.1;Samsung R&D Institute India - Bangalore;400000;3;Bangalore;Full Time;Android
3.7;DXMinds Technologies;300000;3;Bangalore;Full Time;Android
3.6;Endeavour Software Technologies;600000;3;Bangalore;Full Time;Android
3.6;Craft Silicon;300000;3;Bangalore;Full Time;Android
3.9;Baronford & Associates;240000;2;Bangalore;Full Time;Android
3.7;Wibmo;900000;2;Bangalore;Full Time;Android
4.8;Retail Pulse;24000;2;Bangalore;Intern;Android
3.9;Bookmyshow;600000;2;Bangalore;Full Time;Android
3.9;Knowledge Flex;228000;2;Bangalore;Full Time;Android
3.6;Novopay Solutions;600000;2;Bangalore;Full Time;Android
3.7;WealthEngine;360000;2;Bangalore;Full Time;Android
4.0;J.P. Morgan;1000000;2;Bangalore;Full Time;Android
3.6;Acviss;500000;2;Bangalore;Full Time;Android
4.1;Fresher;408000;2;Bangalore;Full Time;Android
4.2;MedOnGo;300000;2;Bangalore;Full Time;Android
4.0;Nuclei;800000;2;Bangalore;Full Time;Android
4.4;eSecForte Technologies;228000;2;Bangalore;Full Time;Android
4.3;Moveinsync Technology Solutions;100000;2;Bangalore;Full Time;Android
3.6;Tech Mahindra;500000;2;Bangalore;Full Time;Android
4.0;ThiDiff Technologies;200000;2;Bangalore;Full Time;Android
4.9;Retranz Infolabs;500000;2;Bangalore;Full Time;Android
4.0;FicusLot;228000;2;Bangalore;Full Time;Android
3.7;KrazyBee;708000;2;Bangalore;Full Time;Android
5.0;powerplay app;396000;2;Bangalore;Intern;Android
4.2;Dcoder;700000;2;Bangalore;Full Time;Android
4.6;Masai School;500000;2;Bangalore;Full Time;Android
3.9;Integra Micro Software Services (P);500000;2;Bangalore;Full Time;Android
3.3;DocsApp;900000;2;Bangalore;Full Time;Android
5.0;Vispara Technosoft;200000;2;Bangalore;Full Time;Android
4.3;Vmoksha Technologies;228000;2;Bangalore;Full Time;Android
2.9;Artoo;400000;2;Bangalore;Full Time;Android
3.8;Edelweiss Financial Services;600000;2;Bangalore;Full Time;Android
4.0;Hubbler;400000;2;Bangalore;Full Time;Android
3.5;L&T Technology Services;500000;2;Bangalore;Full Time;Android
3.0;Rossitek Mobile Apps Development;216000;2;Bangalore;Full Time;Android
1.0;Pricyfy;216000;2;Bangalore;Full Time;Android
2.9;MYNEWCAR;300000;2;Bangalore;Full Time;Android
4.1;IBM;540000;2;Bangalore;Full Time;Android
3.7;Panel Coder Software Technologies;400000;2;Bangalore;Full Time;Android
3.9;Knitter;500000;2;Bangalore;Full Time;Android
3.8;3Embed Software Technologies;400000;2;Bangalore;Full Time;Android
3.4;Web Digital Mantra;100000;2;Bangalore;Full Time;Android
4.5;FitnyTech;252000;2;Bangalore;Full Time;Android
4.8;CRK Gida Technologies;700000;2;Bangalore;Full Time;Android
3.7;FuGenX Technologies;100000;2;Bangalore;Full Time;Android
4.6;Outthinking;200000;2;Bangalore;Full Time;Android
2.8;iMars Technologies;156000;2;Bangalore;Full Time;Android
4.7;GreedyGame;348000;2;Bangalore;Intern;Android
4.1;In Time Tec;600000;2;Bangalore;Full Time;Android
4.3;IndGlobal;300000;2;Bangalore;Full Time;Android
4.1;CYBERNETYX Interaktiv;864000;2;Bangalore;Full Time;Android
3.7;Karabi Software;120000;2;Bangalore;Full Time;Android
