Gender;Height ( inch );Weight ( libre );Height_old_meter;Weight_old_kg;Height_meter;Weight_kg
Male;69,08980228;198,4106267;1,754880978;89,9975464;1,59;62,13
Male;69,45413595;194,8206675;1,764135053;88,3691683;1,87;130,15
Male;71,71587;190,9943108;1,821583098;86,63356209;1,5;103
Female;61,86273334;132,6022293;1,571313427;60,14735946;1,37;85,26
Female;62,77453234;144,9062074;1,594473121;65,72835004;1,83;125,02
Female;63,18025984;131,8017735;1,6047786;59,78427881;1,89;108,42
Male;65,05530355;174,3557521;1,65240471;79,08643882;1,36;65,36
Female;66,93264766;164,6654901;1,700089251;74,69100991;1,41;78,26
Female;67,21839415;167,4499949;1,707347211;75,95404004;1,35;105,4
Female;67,81182469;138,0977032;1,722420347;62,64006449;1,65;138
Female;62,96508143;123,215904;1,599313068;55,88979392;1,64;70,68
Female;66,44624164;135,6088586;1,687734538;61,51114357;1,64;90,06
Male;69,38748642;210,485106;1,762442155;95,47443808;1,7;135,6
Male;67,61221973;190,4165036;1,717350381;86,37147316;1,72;67,1
Male;73,29458372;225,260179;1,861682426;102,1762985;1,45;122,55
Female;64,48249467;140,0108252;1,637855365;63,50784203;1,61;107,67
Male;65,5200758;166,4221092;1,664209925;75,48779893;1,68;77,88
Female;66,58240912;155,8918809;1,691193192;70,71136772;1,86;172,72
Male;71,09295626;198,8291173;1,805761089;90,18737054;1,4;85,5
Male;72,30019039;213,2294517;1,836424836;96,71925235;1,45;59,85
Female;61,95589797;110,2089872;1,573679808;49,9899557;1,39;106,8
Male;69,57823897;184,2198182;1,76728727;83,56070394;1,37;89,61
Female;65,60037347;139,8921751;1,666249486;63,45402325;1,59;114,45
Female;66,64672098;151,4455385;1,692826713;68,69454073;1,79;83,85
Male;66,72049284;169,6840868;1,694700518;76,96740708;1,52;111,18
Male;70,42118366;205,4654812;1,788698065;93,19757457;1,81;128,38
Female;61,62638654;108,3814539;1,565310218;49,16100054;1,9;156,8
Female;62,40533613;116,6023065;1,585095538;52,88991655;1,61;54,39
Male;69,95871907;188,7873609;1,776951464;85,63250646;1,85;148,5
Female;65,95698551;143,2538781;1,675307432;64,97886608;1,8;165,1
Male;70,61574398;188,6638321;1,793639897;85,57647474;1,66;134,56
Female;66,62044769;152,2753556;1,692159371;69,07093944;1,8;83,2
Female;64,56988921;137,1034012;1,640075186;62,18905669;1,69;57,12
Female;64,62535307;143,1456085;1,641483968;64,92975581;1,42;103,04
Female;64,78205313;125,4594314;1,64546415;56,90744083;1,31;51,84
Female;65,38991636;140,7200929;1,660903876;63,82956045;1,84;100,5
Male;70,86561611;214,9813939;1,799986649;97,51391997;1,43;87,42
Male;72,153511;196,538474;1,832699179;89,14835222;1,75;107,5
Male;75,94446038;231,9247485;1,928989294;105,1992963;1,59;129,71
Female;61,46733268;137,1435374;1,56127025;62,20726216;1,77;106,68
Female;64,21697248;154,4466049;1,631111101;70,05580156;1,43;63,24
Male;68,86009031;169,5568208;1,749046294;76,9096802;1,8;91
Female;66,94105461;135,0100413;1,700302787;61,23952461;1,65;67,85
Female;67,63811762;152,0266309;1,718008188;68,95811981;1,44;98,7
Female;66,80247106;147,6549858;1,696782765;66,97517495;1,89;127,88
Male;68,5801273;196,419012;1,741935233;89,09416517;1,7;122,4
Male;70,25353368;208,0638903;1,784439755;94,37619311;1,48;92,12
Male;70,49568211;203,907422;1,790590326;92,49085081;1,51;53,53
Female;63,5988926;124,8295501;1,615411872;56,62173148;1,38;67,76
Female;64,21682077;145,6034656;1,631107248;66,04462104;1,77;132,08
Female;62,823443;126,7969779;1,595715452;57,51414171;1,38;35,2
Female;65,61873688;151,5003893;1,666715917;68,71942064;1,81;73,36
Female;66,10900267;156,9207526;1,679168668;71,17805607;1,78;111,36
Female;69,19043593;172,2359656;1,757437073;78,12491984;1,7;61,2
Male;69,70166848;197,3504893;1,770422379;89,51667616;1,74;122,76
Female;62,62197768;106,0013492;1,590598233;48,08140321;1,45;114
Female;65,13299844;163,3907701;1,65437816;74,11280665;1,84;109,88
Male;67,51676785;158,1133397;1,714925903;71,71900448;1,6;51,7
Male;67,96813278;194,9534527;1,726390573;88,42939865;1,41;107,38
Male;70,26935973;192,3070268;1,784841737;87,22900005;1,75;162,5
Male;72,93973647;199,0951714;1,852669306;90,30805065;1,58;57,24
Female;67,51839902;151,7643136;1,714967335;68,83913469;1,88;179,4
Male;70,17429461;201,7130324;1,782427083;91,49549243;1,8;53,3
Male;61,8903595;140,8041017;1,572015131;63,8676662;1,35;40,8
Female;62,00807715;136,9972204;1,57500516;62,14089388;1,33;37,35
Female;62,18398234;131,6591192;1,579473151;59,71957191;1,34;91,56
Male;72,70722408;204,3651038;1,846763492;92,69845178;1,89;162,63
Male;73,18107491;223,3975723;1,858799303;101,3314343;1,74;106,64
Female;60,7862999;119,2098854;1,543972017;54,07269445;1,86;63,92
Male;70,31684922;205,5218858;1,78604797;93,22315927;1,7;75,6
Male;72,31614019;203,988288;1,836829961;92,52753101;1,84;117,92
Female;59,43723189;103,6789963;1,50970569;47,02800165;1,59;102,46
Female;64,26172371;122,3834321;1,632247782;55,51219101;1,38;73,92
Male;67,93338384;184,40952;1,72550795;83,64675123;1,78;136,96
Male;72,69525855;181,3253291;1,846459567;82,24778577;1,5;42
Female;61,81765527;121,6150002;1,570168444;55,16363617;1,37;47,85
Male;70,24281599;198,1999576;1,784167526;89,9019885;1,59;52,32
Female;62,88995693;123,4005903;1,597404906;55,97356621;1,66;118,32
Female;66,17809104;157,7924242;1,680923512;71,57343966;1,39;90,78
Male;70,87281146;179,3685297;1,800169411;81,36019649;1,61;123,21
Male;71,31698775;199,1576945;1,811451489;90,33641065;1,43;52,08
Male;73,27818363;202,2790555;1,861265864;91,75223619;1,51;45,45
Male;68,93034945;187,8013369;1,750830876;85,18525349;1,57;138,03
Male;69,77791032;176,0902893;1,772358922;79,87321166;1,9;58,8
Male;70,37853898;207,7954078;1,78761489;94,2544115;1,72;68,32
Female;63,03448673;125,4670161;1,601075963;56,91088119;1,77;152,4
Male;68,49534316;179,9298166;1,739781716;81,61479195;1,88;162,84
Female;62,51740907;128,6610478;1,58794219;58,3596696;1,45;66,5
Female;64,65471816;148,9623137;1,642229841;67,56816891;1,4;39,6
Male;65,8952151;151,183699;1,673738464;68,57577233;1,32;43,46
Female;63,93068684;141,2060121;1,623839446;64,04996969;1,65;90,85
Male;65,57577154;173,6915922;1,665624597;78,78518096;1,78;61,44
Male;70,78753977;206,5869643;1,79800351;93,70627075;1,81;53,71
Female;62,15356217;134,0279128;1,578700479;60,79403861;1,59;104,64
Female;65,25100177;151,7293129;1,657375445;68,82325864;1,79;51,6
Female;66,53493641;137,6551147;1,689987385;62,43930972;1,65;95,45
Male;67,17889159;179,4444452;1,706343846;81,39463118;1,64;140,22
Female;68,87910652;181,3162234;1,749529306;82,24365549;1,83;111,72
Male;69,01021935;208,5361952;1,752859571;94,59042701;1,86;146,88
Male;70,24836011;202,921364;1,784308347;92,04358242;1,4;102,6
Male;72,61132729;200,6336879;1,844327713;91,00591;1,84;158,12
Male;66,90026045;192,0156786;1,699266615;87,09684673;1,56;120,84
Male;68,50914917;199,8965586;1,740132389;90,67155377;1,57;60,99
Male;69,38099479;199,85092;1,762277268;90,65085245;1,42;118,68
Female;61,01946656;106,8552947;1,549894451;48,46874637;1,9;154
Female;64,48255373;131,8131379;1,637856865;59,78943362;1,65;128,8
Female;59,71810115;109,8166548;1,516839769;49,81199672;1,51;73,73
Female;63,86336604;116,9483301;1,622129497;53,04687022;1,85;120,15
Male;73,2029699;203,0231161;1,859355435;92,0897364;1,64;49,02
Female;62,44275713;126,5226432;1,586046031;57,38970559;1,68;108,56
Male;72,12252553;200,3368056;1,831912148;90,87124645;1,33;75,53
Female;60,1414416;110,8378547;1,527592617;50,2752052;1,46;92,16
Female;65,61024327;151,169475;1,666500179;68,56932044;1,7;136,8
Female;65,7806083;146,8563543;1,670827451;66,6129218;1,4;72
Female;70,66486477;184,5179603;1,794887565;83,69593892;1,45;41,8
Male;71,8022125;190,3542104;1,823776198;86,34321743;1,35;51,85
Male;72,44521272;209,3234214;1,840108403;94,94750681;1,7;100,8
Female;65,69358887;140,6084124;1,668617157;63,77890302;1,63;58,76
Female;67,34809215;154,877197;1,710641541;70,25111485;1,57;136,96
Male;72,25911519;201,7014216;1,835381526;91,49022586;1,9;158,2
Female;62,2648301;147,964387;1,581526685;67,11551697;1,86;99,28
Female;62,95222847;121,8123626;1,598986603;55,25315825;1,41;70,07
Female;63,85308829;137,1486919;1,621868443;62,2096002;1,32;76,26
Male;65,6942936;150,9606196;1,668635057;68,47458522;1,46;49,92
Male;72,34158877;205,6996211;1,837476355;93,30377864;1,39;90,78
Male;72,77187483;211,164232;1,848405621;95,78248445;1,72;65,88
Female;59,57718853;99,65849196;1,513260589;45,20433156;1,62;114,24
Female;67,91705023;157,971823;1,725093076;71,65481359;1,39;66,75
Male;70,4044365;193,8567694;1,788272687;87,93195147;1,74;146,32
Male;69,2830701;189,4461814;1,759789981;85,93134241;1,55;49,35
Male;61,93732327;147,2636865;1,573208011;66,79768457;1,66;150,8
Female;65,6004495;151,4622451;1,666251417;68,70211872;1,45;93,1
Female;61,78145227;119,9561986;1,569248888;54,41121642;1,86;123,76
Male;69,78353199;180,1372892;1,772501713;81,70889993;1,66;122,96
Male;70,85092011;185,3515329;1,799613371;84,07404109;1,81;163,75
Male;71,54280818;212,4435101;1,817187328;96,36275524;1,43;114,39
Female;64,59171654;154,931948;1,6406296;70,27594948;1,54;135,2
Male;66,75172356;166,3662646;1,695493778;75,46246825;1,34;102,48
Male;73,88457595;209,6265724;1,876668229;95,08501379;1,69;148,75
Female;61,59445094;117,3247873;1,564499054;53,21762833;1,36;62,78
Male;69,3803027;194,7495235;1,762259689;88,33689792;1,66;52,2
Male;63,40042323;185,188138;1,61037075;83,99992641;1,33;66,4
Male;73,39098706;203,5134146;1,864131071;92,31213206;1,87;108,23
Female;59,30400667;124,6679399;1,506321769;56,54842632;1,32;94,3
Male;66,39812838;170,2174512;1,686512461;77,20933711;1,47;101,85
Female;62,71921297;138,230234;1,593068009;62,70017945;1,66;95,12
Male;65,42057682;176,8616842;1,661682651;80,2231105;1,74;153,76
Male;68,3685971;164,9033283;1,736562366;74,7988915;1,49;94,05
Male;68,40105513;202,8660922;1,7373868;92,01851155;1,68;74,34
Male;71,6070858;204,9270121;1,818819979;92,9533291;1,55;50,4
Male;72,0372678;209,9347076;1,829746602;95,22478157;1,76;76,86
Male;71,24311166;192,017261;1,809575036;87,0975645;1,6;81,4
Female;63,57711788;126,5251398;1,614858794;57,39083803;1,84;162,14
Female;63,73284708;144,7776575;1,618814316;65,67004079;1,55;98,7
Female;65,6879083;158,8407203;1,668472871;72,04893877;1,81;162,44
Male;67,12949751;155,5207128;1,705089237;70,5430087;1,72;87,84
Female;61,224458;130,5390508;1,555101233;59,21151743;1,47;41,71
Female;67,41375013;159,568614;1,712309253;72,3791058;1,42;101,2
Female;64,79542925;152,918265;1,645803903;69,36255824;1,53;130,81
Male;69,01116064;191,0267435;1,75288348;86,64827332;1,42;65,32
Male;72,44289921;200,8576584;1,84004964;91,10750131;1,62;124,32
Female;62,07261633;144,8077054;1,576644455;65,68367029;1,5;92
Female;62,21492301;132,5551932;1,580259044;60,12602424;1,88;55,2
Female;63,30000561;121,948217;1,607820142;55,31478077;1,4;64,8
Male;70,8193038;204,5806985;1,798810317;92,79624389;1,76;84,42
Male;73,36693298;224,7176965;1,863520098;101,9302325;1,84;174,2
Female;62,72472486;158,2854595;1,593208011;71,79707671;1,83;55,86
Male;68,94972;181,7832593;1,751322888;82,45549941;1,61;123,21
Male;74,60459137;227,6989828;1,894956621;103,2825213;1,37;53,94
Male;66,67387098;174,1592636;1,693516323;78,99731313;1,46;67,2
Male;70,97612452;202,603188;1,802793563;91,89926021;1,41;90,09
Female;56,09824578;104,9541004;1,424895443;47,60637914;1,9;92,4
Female;62,96592183;130,0245322;1,599334414;58,97813572;1,42;92
Female;64,50733065;136,3173746;1,638486199;61,83252102;1,63;81,36
Female;64,89435389;129,1170413;1,648316589;58,56650477;1,83;133
Female;60,56128697;120,1845576;1,538256689;54,51479832;1,4;42,3
Female;69,18008131;165,2566267;1,757174065;74,95914496;1,72;80,52
Female;58,87430067;102,9270775;1,495407237;46,68693702;1,38;67,76
Female;68,61880427;163,6672087;1,742917628;74,23819709;1,31;79,38
Female;61,36804541;124,9158236;1,558748353;56,66086448;1,65;64,4
Female;63,9902529;156,3795064;1,625352424;70,93255093;1,75;72,5
Female;65,08949215;133,3134954;1,653273101;60,46998433;1,82;157,08
Female;66,24759159;163,5770286;1,682688826;74,19729208;1,34;42,84
Female;65,7814558;143,1550413;1,670848977;64,93403446;1,35;101,15
Female;66,24499095;153,3761556;1,68262277;69,57025392;1,81;125,76
Female;70,83710322;192,160585;1,799262422;87,16257517;1,64;80,94
Female;64,61189367;143,1524271;1,641142099;64,93284868;1,32;95,12
Female;65,24094088;155,4000463;1,657119898;70,4882753;1,71;122,21
Female;61,96795585;133,2625327;1,573986079;60,44686804;1,84;77,72
Female;62,98598049;129,4492386;1,599843904;58,71718693;1,68;90,86
Female;60,59858431;124,6033542;1,539204041;56,51913074;1,63;64,41
Female;63,33684982;137,975016;1,608755985;62,58441451;1,52;102
Female;60,10133519;106,8698908;1,526573914;48,47536705;1,44;94,94
Male;64,68669106;157,0168086;1,643041953;71,22162634;1,69;102,34
Female;65,76985828;147,7333612;1,6705544;67,01072543;1,44;52,64
Male;67,72561893;201,1164009;1,720230721;91,22486493;1,87;100,01
Male;68,27775927;182,2054201;1,734255085;82,64698833;1,77;91,44
Male;68,74134888;183,4010746;1,746030262;83,18932809;1,61;125,43
Female;62,86956627;140,2980431;1,596886983;63,63812188;1,73;120,54
Female;64,83953088;153,5728629;1,646924084;69,65947885;1,53;55,62
Female;58,89247364;104,4234622;1,49586883;47,3656857;1,85;116,1
Male;65,75549864;179,8556896;1,670189665;81,5811685;1,59;95,92
Male;71,08385997;207,5855821;1,805530043;94,15923616;1,5;74
Female;61,4524106;121,9800924;1,560891229;55,3292392;1,8;79,3
Male;65,25247915;156,0105758;1,65741297;70,76520682;1,55;78,75
Male;72,43516123;201,6148974;1,839853095;91,45097914;1,63;68,93
Male;73,57508303;215,0708702;1,868807109;97,55450573;1,75;75
Male;67,77716819;179,864803;1,721540072;81,58530227;1,76;64,26
Female;64,58020712;126,4327205;1,640337261;57,34891734;1,72;145,18
Female;66,10550245;154,5954511;1,679079762;70,12331706;1,62;96,32
Male;69,6329393;200,5626132;1,768676658;90,97367105;1,38;58,08
Female;58,22539702;114,9617073;1,478925084;52,14575327;1,87;93,16
Female;60,85962004;112,0907533;1,545834349;50,84351044;1,77;59,69
Female;61,23390393;103,1425613;1,55534116;46,78467883;1,81;115,28
Male;63,00618017;151,3505719;1,600356976;68,65146461;1,87;128,78
Male;69,50423744;188,6651449;1,765407631;85,57707021;1,51;115,14
Male;70,35199759;187,8204731;1,786940739;85,19393353;1,47;62,08
Female;59,95595817;119,8804371;1,522881338;54,37685158;1,72;151,28
Female;63,46588178;119,3515993;1,612033397;54,13697479;1,61;95,46
Female;66,0007525;159,1304771;1,676419114;72,18037025;1,38;91,52
